date,first_prize,last2,front3_1,front3_2,back3_1,back3_2
02/05/2026,536077,67,77,432,318,65
16/04/2026,309612,8,612,771,355,424
01/04/2026,292514,13,514,471,406,98
16/03/2026,833009,10,9,645,983,439
01/03/2026,820866,54,866,60,479,68
16/02/2026,340563,41,563,72,527,169
01/02/2026,174629,95,629,481,917,41
17/01/2026,878972,99,972,22,815,363
02/01/2026,837706,47,706,163,694,288
16/12/2025,763895,76,895,521,431,14
01/12/2025,461252,89,252,223,655,137
16/11/2025,458145,42,145,372,602,239
01/11/2025,345898,28,898,873,449,111
16/10/2025,59696,31,696,615,955,476
01/10/2025,876978,32,978,775,843,280
16/09/2025,74646,12,646,585,740,308
01/09/2025,506356,12,356,310,131,22
16/08/2025,994865,47,865,632,602,834
01/08/2025,811852,42,852,501,525,512
16/07/2025,245324,71,324,261,995,84
01/07/2025,949246,69,246,911,680,261
16/06/2025,507392,17,392,60,243,299
01/06/2025,559352,34,352,201,349,44
16/05/2025,251309,9,309,871,231,631
02/05/2025,213388,16,388,61,826,167
16/04/2025,266227,54,227,852,413,474
01/04/2025,669687,35,687,366,760,180
16/03/2025,757563,95,563,325,927,309
01/03/2025,818894,39,894,541,530,656
16/02/2025,847377,68,377,502,613,1
01/02/2025,558700,85,700,512,418,685
17/01/2025,807779,99,779,236,961,448
02/01/2025,730209,65,209,510,446,297
16/12/2024,97863,90,863,212,742,339
01/12/2024,669843,59,843,615,626,98
16/11/2024,187221,36,221,380,923,547
01/11/2024,536044,74,44,321,225,63
16/10/2024,482962,61,962,5,648,493
01/10/2024,718665,53,665,590,812,79
16/09/2024,608662,30,662,372,904,8
01/09/2024,199606,73,606,941,220,94
16/08/2024,95867,12,867,282,334,697
01/08/2024,407041,8,41,464,579,70
16/07/2024,367336,11,336,210,331,421
01/07/2024,434503,39,503,898,975,647
16/06/2024,518504,16,504,310,428,426
01/06/2024,530593,94,593,421,364,421
16/05/2024,205690,47,690,607,885,70
02/05/2024,980116,4,116,171,763,634
16/04/2024,943598,27,598,797,729,154
01/04/2024,803481,22,481,901,809,559
16/03/2024,997626,9,626,785,571,329
01/03/2024,253603,0,603,799,975,382
16/02/2024,941395,56,395,430,330,375
01/02/2024,607063,54,63,94,943,544
17/01/2024,105979,29,979,614,931,196
30/12/2023,625544,0,544,896,648,456
16/12/2023,356757,58,757,850,410,584
01/12/2023,251097,55,97,910,265,92
16/11/2023,557990,46,990,143,412,778
01/11/2023,743951,35,951,633,913,19
16/10/2023,931446,67,446,441,398,272
01/10/2023,727202,24,202,663,355,426
16/09/2023,320812,37,812,460,699,57
01/09/2023,915478,21,478,915,596,291
16/08/2023,471782,31,782,674,739,737
31/07/2023,260453,68,453,112,708,387
16/07/2023,169530,61,530,622,384,66
01/07/2023,922605,81,605,162,867,491
16/06/2023,264872,19,872,305,628,202
01/06/2023,125272,0,272,90,681,386
16/05/2023,132903,78,903,996,739,693
02/05/2023,843019,0,19,655,780,187
16/04/2023,984906,70,906,716,678,551
01/04/2023,87907,11,907,991,914,290
16/03/2023,25873,20,873,734,800,355
01/03/2023,417652,77,652,555,919,748
16/02/2023,590417,95,417,801,664,377
01/02/2023,297411,81,411,921,789,101
17/01/2023,812519,89,519,473,443,564
30/12/2022,157196,7,196,580,522,250
16/12/2022,845093,11,93,144,912,593
01/12/2022,375805,70,805,81,786,409
16/11/2022,121789,32,789,645,722,157
01/11/2022,913106,22,106,707,839,343
16/10/2022,613106,37,106,150,158,606
01/10/2022,484669,6,669,502,996,194
16/09/2022,943703,40,703,755,971,432
01/09/2022,929332,98,332,832,725,210
16/08/2022,331583,71,583,422,300,284
01/08/2022,436594,66,594,142,893,282
16/07/2022,620405,59,405,531,834,61
01/07/2022,981417,42,417,612,287,2
16/06/2022,361807,85,807,922,549,106
01/06/2022,319196,79,196,26,817,213
16/05/2022,155012,47,12,62,736,236
02/05/2022,658642,18,642,95,778,41
16/04/2022,395919,89,919,582,859,413
01/04/2022,970618,91,618,103,738,578
16/03/2022,737867,49,867,33,985,788
01/03/2022,61905,36,905,72,834,234
17/02/2022,98597,85,597,570,644,592
01/02/2022,944308,61,308,300,942,485
17/01/2022,880159,31,159,927,786,119
30/12/2021,819068,91,68,365,979,419
16/12/2021,639235,97,235,830,629,476
01/12/2021,77258,39,258,827,740,401
16/11/2021,32761,71,761,574,648,245
01/11/2021,45037,47,37,952,458,331
16/10/2021,386372,2,372,386,964,295
01/10/2021,578171,85,171,832,361,379
16/09/2021,70935,9,935,906,817,7
01/09/2021,114475,78,475,792,302,123
16/08/2021,46750,21,750,234,666,160
01/08/2021,910261,3,261,691,307,4
16/07/2021,556725,58,725,700,174,233
01/07/2021,713517,73,517,290,794,414
16/06/2021,691861,7,861,170,54,447
01/06/2021,292972,93,972,451,620,723
16/05/2021,684579,15,579,146,843,276
02/05/2021,501272,18,272,180,306,129
16/04/2021,100787,13,787,560,143,264
01/04/2021,472270,83,270,52,755,393
16/03/2021,890422,36,422,190,902,256
01/03/2021,835538,90,538,732,838,51
16/02/2021,424603,18,603,393,861,57
01/02/2021,912307,48,307,972,605,282
17/01/2021,384395,67,395,153,653,566
30/12/2020,803628,36,628,193,804,321
16/12/2020,201303,77,303,703,828,72
01/12/2020,100994,93,994,840,776,834
16/11/2020,972661,68,661,463,741,208
01/11/2020,506404,54,404,401,598,62
16/10/2020,286051,89,51,381,464,45
01/10/2020,837893,94,893,595,757,110
16/09/2020,244083,27,83,571,220,623
01/09/2020,999997,36,997,986,725,342
16/08/2020,945811,14,811,886,712,364
01/08/2020,569391,75,391,925,931,578
16/07/2020,873286,10,286,535,533,494
01/07/2020,347258,95,258,830,362,94
16/06/2020,516967,76,967,648,882,565
01/06/2020,831567,64,567,242,489,562
01/04/2020,51095,85,95,222,430,191
16/03/2020,503446,58,446,772,726,404
01/03/2020,875938,94,938,982,328,597
16/02/2020,781403,15,403,945,952,30
01/02/2020,589227,59,227,62,552,375
17/01/2020,491774,4,774,680,132,379
30/12/2019,510541,16,541,811,382,140
16/12/2019,529924,43,924,970,138,555
01/12/2019,453522,61,522,812,617,13
16/11/2019,17223,64,223,321,640,85
01/11/2019,967375,23,375,793,806,21
16/10/2019,812564,55,564,152,625,132
01/10/2019,691197,92,197,593,920,606
16/09/2019,340388,33,388,857,947,925
01/09/2019,798787,10,787,202,847,274
16/08/2019,775476,49,476,891,912,563
01/08/2019,387006,35,6,581,983,562
15/07/2019,369765,55,765,883,901,113
01/07/2019,943647,39,647,862,864,6
16/06/2019,174055,25,55,296,884,127
01/06/2019,516461,89,461,465,713,215
16/05/2019,962526,69,526,716,949,18
02/05/2019,61324,43,324,250,476,374
16/04/2019,570331,12,331,235,930,966
01/04/2019,109767,88,767,528,959,403
16/03/2019,724628,48,628,641,883,154
01/03/2019,345650,37,650,651,999,830
16/02/2019,74824,81,824,568,910,612
01/02/2019,967134,43,134,46,779,197
17/01/2019,197079,6,79,652,412,127
30/12/2018,735867,31,867,20,913,701
16/12/2018,356564,80,564,624,948,297
01/12/2018,21840,45,840,670,307,561
16/11/2018,989903,71,903,164,930,140
01/11/2018,149840,84,840,583,576,46
16/10/2018,200515,86,515,931,392,192
01/10/2018,452643,94,643,995,726,561
