"draw_date","method","suggested_last2","actual_last2","hit_last2","suggested_3digit","actual_3digit","hit_3digit","rank_hit"
"2016-04-16","frequency_score_v1","90","08","0","285,546,720,923","228,507,609,870","0",""
"2016-05-02","frequency_score_v1","08,90","38","0","228,285,507,546,609,720,870,923","022,046,403,459","0",""
"2016-05-16","frequency_score_v1","08,38,90","82","0","022,046,228,285,403,459,507,546,609,720,870,923","087,737,975,983","0",""
"2016-06-01","frequency_score_v1","08,38,82,90","11","0","022,046,087,228,285,403,459,507,546,609,720,737,870,923,975,983","141,775,825,880","0",""
"2016-06-16","frequency_score_v1","08,11,38,82,90","51","0","022,046,087,141,228,285,403,459,507,546,609,720,737,775,825,870,880,923,975,983","321,792,804,816","0",""
"2016-07-01","frequency_score_v1","08,11,38,51,82,90","69","0","022,046,087,141,228,285,321,403,459,507,546,609,720,737,775,792,804,816,825,870","173,460,531,609","1","12"
"2016-07-16","frequency_score_v1","08,11,38,51,69,82,90","52","0","609,022,046,087,141,173,228,285,321,403,459,460,507,531,546,720,737,775,792,804","158,555,734,764","0",""
"2016-08-01","frequency_score_v1","08,11,38,51,52,69,82,90","38","1","609,022,046,087,141,158,173,228,285,321,403,459,460,507,531,546,555,720,734,737","472,575,932,983","0","3"
"2016-08-16","frequency_score_v1","38,08,11,51,52,69,82,90","66","0","609,983,022,046,087,141,158,173,228,285,321,403,459,460,472,507,531,546,555,575","004,333,596,966","0",""
"2016-09-01","frequency_score_v1","38,08,11,51,52,66,69,82,90","34","0","609,983,004,022,046,087,141,158,173,228,285,321,333,403,459,460,472,507,531,546","335,623,630,684","0",""
"2016-09-16","frequency_score_v1","38,08,11,34,51,52,66,69,82,90","93","0","609,983,004,022,046,087,141,158,173,228,285,321,333,335,403,459,460,472,507,531","043,424,583,650","0",""
"2016-10-01","frequency_score_v1","38,08,11,34,51,52,66,69,82,90,93","94","0","609,983,004,022,043,046,087,141,158,173,228,285,321,333,335,403,424,459,460,472","017,102,280,331","0",""
"2016-10-16","frequency_score_v1","38,08,11,34,51,52,66,69,82,90,93,94","92","0","609,983,004,017,022,043,046,087,102,141,158,173,228,280,285,321,331,333,335,403","032,885,947,986","0",""
"2016-11-01","frequency_score_v1","38,08,11,34,51,52,66,69,82,90,92,93,94","24","0","609,983,004,017,022,032,043,046,087,102,141,158,173,228,280,285,321,331,333,335","038,438,868,976","0",""
"2016-11-16","frequency_score_v1","38,08,11,24,34,51,52,66,69,82,90,92,93,94","40","0","609,983,004,017,022,032,038,043,046,087,102,141,158,173,228,280,285,321,331,333","383,440,558,682","0",""
"2016-12-01","frequency_score_v1","38,08,11,24,34,40,51,52,66,69,82,90,92,93,94","13","0","609,983,004,017,022,032,038,043,046,087,102,141,158,173,228,280,285,321,331,333","069,148,775,873","0",""
"2016-12-16","frequency_score_v1","38,08,11,13,24,34,40,51,52,66,69,82,90,92,93,94","66","1","609,775,983,004,017,022,032,038,043,046,069,087,102,141,148,158,173,228,280,285","199,286,353,596","0","10"
"2016-12-30","frequency_score_v1","38,66,08,11,13,24,34,40,51,52,69,82,90,92,93,94","04","0","596,609,775,983,004,017,022,032,038,043,046,069,087,102,141,148,158,173,199,228","463,477,712,890","0",""
"2017-01-17","frequency_score_v1","38,66,04,08,11,13,24,34,40,51,52,69,82,90,92,93,94","11","1","596,609,775,983,004,017,022,032,038,043,046,069,087,102,141,148,158,173,199,228","157,255,516,663","0","5"
"2017-02-01","frequency_score_v1","11,38,66,04,08,13,24,34,40,51,52,69,82,90,92,93,94","66","1","596,609,775,983,004,017,022,032,038,043,046,069,087,102,141,148,157,158,173,199","420,426,672,807","0","3"
"2017-02-16","frequency_score_v1","66,11,38,04,08,13,24,34,40,51,52,69,82,90,92,93,94","28","0","596,609,775,983,004,017,022,032,038,043,046,069,087,102,141,148,157,158,173,199","116,141,375,464","1","15"
"2017-03-01","frequency_score_v1","66,11,38,04,08,13,24,28,34,40,51,52,69,82,90,92,93,94","50","0","141,596,609,775,983,004,017,022,032,038,043,046,069,087,102,116,148,157,158,173","052,453,560,784","0",""
"2017-03-16","frequency_score_v1","66,11,38,04,08,13,24,28,34,40,50,51,52,69,82,90,92,93,94","24","1","141,596,609,775,983,004,017,022,032,038,043,046,052,069,087,102,116,148,157,158","694,863,918,923","0","7"
"2017-04-01","frequency_score_v1","66,11,24,38,04,08,13,28,34,40,50,51,52,69,82,90,92,93,94","20","0","141,596,609,775,923,983,004,017,022,032,038,043,046,052,069,087,102,116,148,157","057,500,785,800","0",""
